Name,Organization,Project
Liq Tao,The LLVM Compiler Infrastructure,Inlining: using locally optimal inlining decisions
Ayas Behera,OWASP Foundation,Extending the features of the vulnerable code snippets and redesigning the score board
Antonio Gomes,CGAL Project,3D Barycentric Coordinates for Convex Polyhedra with Triangular Faces
Vasudev Gupta,TensorFlow,Implement and publish state-of-the-art ML models in TensorFlow 2 & deploy them on mobile devices using TensorFlow Lite
Manish Kumar Shah,OpenWISP,OpenWISP REST API
felipe bivort haiek,NumFOCUS,GPU backend for QuTip
Soham Dixit,The LLVM Compiler Infrastructure,Distributed lit testing
Sai Rohitth Chiluka,Zulip,Improving the User Experience of Zulip Terminal
Ivan Molodetskikh,GNOME Foundation,Shell: update screenshot and screen recorder
Parth Pratim Chatterjee,The ns-3 Network Simulator Project,Direct Code Execution Modernization
Leonardo Cumplido,Python Software Foundation,Python Argentina: <PyZombis project> Continue the implementation of the course in the Runestone environment
Abdallah Elshamy,GNU Octave,Jupyter Notebook Integration
Leandro Doctors,Debian,Clojure CLI Build Tools in Debian
Otávio Oliveira,Liquid Galaxy project,Visit the World
Shu Richmond,AOSSIE,Slagora API and Admin Dashboard
Sachin Chauhan,Digital Impact Alliance (DIAL) at UN Foundation,Eventyay Open Event: Open Event Frontend Reimplementation
Pranav Rajpal,mypy,Improve support for singledispatch
Yashraj Desai,Cuneiform Digital Library Initiative (CDLI),Discovery Search and Advanced Search features
Dharna Chandrakar,National Resource for Network Biology (NRNB),Prepare cyjShiny for R Package  Repository Submission
Lisardo Pérez Lugones,Red Hen Lab,Depicting of Graphical Communication Systems (GCS) in Aztec/Central Mexican manuscripts with Deep Learning: glyphic visual recognition and deciphering using Keras
Osama Ahmad,Inkscape,On-canvas interactive boolean operations
Ashish Malik47-,Casbin,Casbin plugin for Kubernetes
Aravind Murali,Python Software Foundation,MSUI UI Redesign
Pu (Luke) Yi,Java PathFinder,Analyzing Fault Injection in Java PathFinder and Symbolic PathFinder
RWMK,SCoRe Lab,CodeLabz
Prakhar Agarwal,Purr Data,Web App UI Cleanup
Asier Galicia Martínez,NumFOCUS,TensorFlow data backend
Chi Lung Cheng,Machine Learning for Science (ML4SCI) Umbrella Organization,Quple - Quantum GAN
João Seckler,The Linux Foundation,Optimizing build and deploy in Kworkflow: towards the Beta release
Aradhana Kund,Cuneiform Digital Library Initiative (CDLI),DESIGN CHALLENGE
Chaitanya Kulkarni,The R Project for Statistical Computing,Adding Adaptive Bayesian SLOPE (ABSLOPE) to the SLOPE Package
Vedang Joshi,JBoss Community,Trust anchor management for drg
Mahmoud Khalil,KDE Community,Okular: Improve Custom/Image Stamp Annotation Handling
DamianArado,XWiki,Add WebAuthn Support to XWiki - GOOGLE SUMMER OF CODE 2021 PROPOSAL
Pola Hano Shehat,SCoRe Lab,Pola Hano
Shubhanshu Saxena,Intel Video and Audio for Linux,Async Support for TensorFlow Backend in FFmpeg
Vishal Chaudhary,Chromium,Port power policies end-to-end tests
Daniil Pakhomov,MediaPipe,Efficient Realistic Image Manipulation
Mykola Medynskyi,Scala Center,Implement support for ScalaPy in Scala 3
Ajinkya Raghuwanshi,SymbiFlow,Compressed Instruction Support for SERV
Ji Hun Hong,Processing Foundation,Korean Translations and Website Improvements
Mohamed Mokhtar,Red Hen Lab,Red Hen Rapid Annotator
Darshil Patel,Rocket.Chat,Introducing Ephemeral Channels in Rocket.Chat
zbrown,GNOME Foundation,Shell: Implementing Layout Managers in Rust
Rahat Muneeb,Chromium,"Snooze, search and filter for the Chrome DevTools Issues Tab"
Yongrong Chen,Swift,SwiftPM support for Swift scripts
Tarun Nagdeve,Red Hen Lab,Development of  a Visual Recognition model for Aztec Hieroglyphs
hanYolo,GFOSS - Open Technology Alliance,HA-Auto:  Node-RED Compatible DSL for Home Assistant
Puranjay Mohan,The Linux Foundation,IIO Driver: ADXL355 Accelerometer
Martin Kostelník,CERN-HSF,Single precision support for GPU acceleration in VecGeom
Yash Rajpal,Rocket.Chat,App: Bad-Words Filter
Kamush,Apertium,Implementing new language pair: Kazakh - Uzbek
Atreya Majumdar,Open Chemistry,Make Deepchem More Robust: Implement Cutting-Edge Models and Other Features
Yuki Osaki,Ruby,Language Server for RBS
Dinko Franceschi,TensorFlow,Tree-based models
Quinn Okabayashi,openSUSE Project,Interpersonal Identity Verification
Mirali Ahmadli,TensorFlow,Improve Eigen’s Tensor Module and Integration with TensorFlow
Ashutosh Chauhan-2,Oppia Foundation,Angular Migration
Subham Raj,Digital Impact Alliance (DIAL) at UN Foundation,OPEN DATA KIT: Improve the suitcase application
Nkoa Christophe,CiviCRM LLC,Multi currency memberships
Georgiy Lebedev,Tarantool,LLVM JIT engine for Tarantool's DQL
Harshavardhan Unnibhavi,QEMU,Development of a vhost-user-vsock application and its integration with kata contianers
Paulina Martin,The Julia Language,MCMC Chains imporvements
Eduardo Quintana Miranda,Boost C++ Libraries,Boost.Math: FFT Utilities
Tomás Assenza,freifunk,Android native app for network selection capability in LibreMesh routers
Amirfarhad Nilizadeh,Java PathFinder,Using Lightweight Specifications with Fuzzing and Symbolic Execution to Reveal Security and Semantic Bugs
Ashwath V A,MuseScore,Chord Symbol Style Editor
Alan Barzilay,The Linux Foundation,Expanding support for Kworkflow: bootloaders  and Linux distributions
Kartik,gprMax,LasoMax
Harshal Anil Shende,CERN-HSF,RooFit Development - Intuitive Python bindings for RooFit
Adithya Sunil Edakkadan,Free and Open Source Silicon Foundation,Porting BaseJump STL to FuseSoC
Dhruv Jain,Rocket.Chat,Introduce Video and Audio calls to LiveChat
Anshudhar Kumar Singh,Inkscape,Improvement in Export Options
Francesco Bursi,OSGeo - Open Source Geospatial Foundation,A new render type: On-the-fly Raster Calculator for QGIS
Guillem Lopez Paradis,Free and Open Source Silicon Foundation,Parallelising Verilog RTL Simulations Using MPI
Marlin Roberts,Java PathFinder,Improved Integration of String Solvers in SPF
Adarsh Kumar,The Julia Language,Plug and Play Language Models in Julia
Siddhant Jain,DBpedia,Neural QA Model for DBPedia
Gopi Manohar Tatiraju,mlpack,Replacing boost spirits
Jiarui Wang,The R Project for Statistical Computing,Expected Returns: FactorAnalytics
Hari Prashant Bhimaraju,Zulip,Enhancing the Zulip Terminal Experience
Lycanthrope,SCoRe Lab,GSOC 2021 CodeLabz Proposal
Anant Bhasin,Rocket.Chat,E2E Testing for Android in Rocket.Chat.ReactNative
Amr Maghraby,Red Hen Lab,Machine detection of film edits
tastatham,NumFOCUS,Geopandas - Dask bridge to scale geospatial analysis
Rithik Sharma,The LLVM Compiler Infrastructure,Clang Static Analyzer performance profiling
Aayush Sabharwal,The Julia Language,Model Serialization and Pathfinding  for Agents.jl
Rahul Halder,Rocket.Chat,Voice Channels
yjmantilla,INCF,SOVABIDS: A python package for the automatic conversion of MEG/EEG datasets that makes the most out of metadata
Gautam Jajoo,CloudCV,Improvements in EvalAI frontend
ABHISHEK AGARWAL,AOSSIE,Final Step Towards Deployment
Tomas Capretto,NumFOCUS,Extend available models and default priors in Bambi
Mai,MGGG Redistricting Lab,Distribution Checks
Kapil (devkapilbansal),OpenWISP,OpenWRT package for OpenWISP Monitoring
Ahmed Alwasifey,Joplin,Improving Conflict Resolution Process
Rajan Jaiswal,CCExtractor Development,Improving rutorrent mobile interface
Deep Majumder,The LLVM Compiler Infrastructure,Making Smart Pointer Checkers default checkers in the Static Analyzer
Gourishankar Panda,Kiwix,Improve Kiwix Android Library
Yash Srivastava,OpenStreetMap,Interface for reporting search bugs for Nominatim
Yash Jipkate,"Center for Research in Open Source Software, UC Santa Cruz",Port wiki to ReadTheDocs or another documentation platform
Remco Kranenburg,xrdesktop,Predictive Text Input for Virtual Reality
Gavish Poddar,Python Software Foundation,Implementing an optional language detection library to improve language detection.
Ping Zhang,NumFOCUS,GSoC Proposal: Multi-Start Optimization Methods
Lakshya Singh,Chapel,Socket Library
Suhas G,JdeRobot - Universidad Rey Juan Carlos,Shifting VisualCircuit to a web server
memst,FFmpeg,FFT assembly
Akshat Tiwari,MetaBrainz Foundation Inc,Musicbrainz Android App: Dawn of Showdown
Liutong HAN,OpenCV,Optimizing OpenCV DNN for RISC-V Proposal
Ritiek Malhotra,MetaBrainz Foundation Inc,Ritiek Malhotra
Benjamin Doron,TianoCore,Minimum Platform Board Port - Acer Aspire VN7-572G
mschwennesen,NumFOCUS,NetworkX: Implementing the Asadpour Asymmetric Traveling Salesman Problem Algorithm
Aayush Joglekar,Chromium,Sample Diagnostics App for ChromeOS
Mragank Shekhar,NumFOCUS,"Speed-up, parallelize and distribute ArviZ"
Siyuan Fan,libcamera,GSoC Proposal for OpenCL software ISP
Sankha Das,National Resource for Network Biology (NRNB),SBML4Humans - Interactive SBML Report for Humans
Avinash,freifunk,RetroShare WEBUI
Adrian-Antonio Petre,CERN-HSF,Portability for the Patatrack Pixel Track Reconstruction with Alpaka
Frank Schäfer,NumFOCUS,Neural Hybrid Differential Equations and Adjoint Sensitivity Analysis
adwaitbhope,openastronomy,Adding Support for Resampling Data with NDCube
Sparsh Agrawal,Oppia Foundation,Static Analysis Checks + Improvements
Omar Mohamed Abdel Samea,FOSSology,Making FOSSology architecture microservice friendly
Deepro Choudhury,Google FHIR SDK,Implementation of FHIRPath in a Java library
santhab,LibreOffice,Implementing table styles DOCX support
open-sorcerer,Chromium,WebView Components UI
Hongcheng Zhong,Intel Video and Audio for Linux,VVC Parser for Gstreamer
Sandagomi Pieris,SCoRe Lab,CrawlerX - Distributed crawling system
Ilias Kyranas,GFOSS - Open Technology Alliance,Sastix-CMS: A general purpose Java CMS in Spring Boot
AlanaInVimderland,Open Chemistry,Large Scale Protein Modeling in DeepChem
Alexis Ehret,Rizin,Reworking Rizin's binary loading
Marcos Lerones,Haskell.org,Dhall bindings to TOML configuration language
Akash Gupta,MetaBrainz Foundation Inc,"Implement a ""Series"" entity"
Sahan Dilshan,DBpedia,Lifecycle Management of DBpedia Neural QA Models - Sahan Dilshan
Ankur Saini,GNU Compiler Collection (GCC),Extending C++ support for static analysis pass
anubhav sharma,Google FHIR SDK,Android FHIR Client
Yeming Gu,CHAOSS Project,Yeming Gu's GSoC proposal for CHAOSS
Jimil Desai,CERN-HSF,Runtime plugin ecosystem support for OCIS
Aadi Bajpai,CCExtractor Development,Beacon Backend
Utkarsh Maheshwari,NumFOCUS,Increase support for time-series and regressions (Python)
Captain Yoshi,MoveIt,Creation of a Benchmark Suite
Rashmi K A,CHAOSS Project,Sorting Hat - Extend data model and user interface to capture better information about contributors
Indraneel Ghosh,National Resource for Network Biology (NRNB),Simple Enrichment Tool for Analysis
Tran Huu Binh Minh,AerospaceResearch.net,Center of Satellite Signal in the Frequency Domain
Linden Disney-Hogg,SageMath,Rigorous integration and the Abel-Jacobi map
Ramanujan,SCoRe Lab,DNSTool Middleware/API
D Ajay Kumar,52°North GmbH,enviroCar Platform Independent App  Proposal
Mainak Deb,INCF,Upgrading DevoLearn
Eyvaz Ahmadzada,Joomla!,Media Manager
Jasper,Apertium,Ideas for Google Summer of Code/Morphological analyser
DhairyaJain,The R Project for Statistical Computing,Add Robust Betas to Performance Analytics
amanpro30,OWASP Foundation,Login/Signup Implementation
Srijan Paul,LabLua,Closures in Pallene
Nektarios Gkikakis Fifes,Postman,AsyncAPI Application simulation
vsquareg,OpenMined,High Performance Data Channel for Duet
Giannis Papad,GFOSS - Open Technology Alliance,"""PackageInfo WebApp"""
Sanjiban Sengupta,CERN-HSF,ROOT Storage of Deep Learning models in TMVA
Jeevi,SCoRe Lab,DNSTool proposal
Nithin Jaikar,CRIU,DUMP SHARED MEMORY IN USER-MODE
Olivian,Haskell.org,Haskell in CodeMirror 6
Siras Hakobyan,National Resource for Network Biology (NRNB),"TumorComparer, updated version"
Jakub Jelinek,Fortran-lang,Handling compiler arguments
Shivaditya Shivganesh,LibreHealth,Neural network-based object detection of anatomical structures and medical artifacts in Virtual Reality
Rishi Purwar,Postman,Contributing to Postman Public Workspace
Vishal Dalwadi,Polypheny,Support for Contextual Query Language
Amlan Kumar Nandy,SCoRe Lab,Improve LabelLab Mobile Application
Aditya Mitra,Rocket.Chat,Out Of Office Settings with an Assigning Deputy - GSOC 2021 - Aditya Mitra
Nuwan Jayawardene,The Apache Software Foundation,Containerisation of Apache Synapse ESB
Dongjia Zhang,AFLplusplus,Scheduler for LibAFL
Aidan Marshall,Genome Assembly and Annotation,Deep learning homology inference
Vadim Abzalov,NumFOCUS,[NetworkX] Pedagogical Interactive Notebooks for Algorithms Implemented in NetworkX
Emiljano Gjiriti,Android Graphics Tools Team,Coverage-guided mutation-based fuzzing for WebGPU
srkltg,SCoRe Lab,DNSTool Web Application
Vasily Ilin,NumFOCUS,Efficient Spatial Simulations in DiffEqJump
Preet Vadaliya,MIT App Inventor,Custom Font Typeface Support
yuqi (alyssa) chen,TianoCore,proposal for Enable Clang/LLVM Build for Microsoft Windows
YoungHwan Joo,PostgreSQL,Develop Performance Farm Benchmarks and Website
Aneesh Chawla,CERN-HSF,OpenForBC
Ferran Delgado Garcia,Liquid Galaxy project,Crop Doc Terminal TPU
pschreiber,freifunk,Freifunk Digital Twin - test on your virtual mesh before going productive
Sunit Roy,TensorFlow,TensorFlow Lite examples for Natural Language Processing
Ayush Singh,AerospaceResearch.net,Calibrate SDR+
Neel,NumFOCUS,Lambert W Distributions in Stan
Sarthak_Gupta,Sugar Labs,Sugarizer Measure activity
Ishan Kumar Kaler,Purr Data,General Midi Mad Dash
Vineet Jain,Free and Open Source Silicon Foundation,WARP-V Many-Core in the Cloud
Kinar Sharma,The Apache Software Foundation,Functional Enhancements to Fineract CN Mobile
Aditya Wagh,INCF,Maxima Demo and Documentation Tool.
Anubhav Sharma-1,Wikimedia Foundation,Retraining models from ORES to be deployable on Lift Wing
Pankaj Yadav,National Resource for Network Biology (NRNB),Local DB support for SBGN maps in Newt
Evgeniia Karunus,INCF,SciUnit: integration with NetPyNE and other simulation environments
Ilia Ilmer,NumFOCUS,Parameter Identifiability with ModelingToolkit.jl
Shaik Ajmal R,OWASP Foundation,Building a AI Based Web Application firewall
David Davó,Haskell.org,Fixing ihaskell-widgets
Rahul Anand,JBoss Community,3Scale - Envoy proxy authorization cache
Abhay0O7,CASTOR,Implement DepClean Gradle plugin and support for multi-module analysis
Songlin Jiang,openSUSE Project,Customize IBus for Separate Themes
Aman V. Singh,OWASP Foundation,SecureTea - Improvement in Features
Anastasiia Sedova,DeepPavlov,Relation Extraction
geolas,International Catrobat Association,"Pocket Paint for Android: Hide the top and bottom bars, and make the drawing surface full screen by default"
Farjad Ilyas,AnkiDroid,"""Migrating to Scoped Storage"" By Farjad Ilyas, 2021"
Arpit Bhalla,React Native Elements,"Migrating Hooks, Tests & APIs"
Xuanda Yang,The Julia Language,Implement Escape Analysis in Julia Compiler
Alexis Newton,SageMath,Implement Small Groups
Zeeshan Equbal,Zulip,Improving Zulip’s terminal interface.
Dhruv Vats,openastronomy,Integrating Multitaper Periodogram into Stingray
NIKITA MAHOVIYA,National Resource for Network Biology (NRNB),Develop GUI for ImageJ groovy script calling VCell API
Rahul Saini,Joomla!,Frontend Inline editing
Duong Dac,OpenCV,Improve the OpenCV Python package with type annotations and type checking
Rishi R,The R Project for Statistical Computing,Machine Learning for Macro Diffusion Indexes
Prateek Pardeshi,Pidgin Instant Messenger,Pidgin: Account Creation/Edit Assistant
Xingyu Liu,Python Software Foundation,Improve performance through the use of Pythran
Rahul Babu Shrestha,Python Software Foundation,"Implementing locality sensitive hashing to compare large scale, out of core machine learning datasets"
Rikito Taniguchi,Scala Center,Add synthetics and symbol information for semanticdb in Scala 3
Yulia Kuzovkova,The Libreswan Project,Support for RFC 7670 (Generic Raw public key support)
Somil Jain,Cuneiform Digital Library Initiative (CDLI),Design Challenge
José Manuel Díaz Urraco,DBpedia,DBpedia Spotlight Dashboard: an integrated statistical information tool from the Wikipedia dumps and the DBpedia Extraction Framework artifacts
Nishit Patel,GNOME Foundation,Tracker-miners: File creation time
Maija Utriainen,National Resource for Network Biology (NRNB),Implementing multiple clustering algorithms and dimensionality reduction techniques on clusterMaker2
Devyansh Chawla,Wikimedia Foundation,Develop a UserScript/Gadget tutorial on MediaWiki.org similar to Wikipedia:The_Wikipedia_Adventure
Jose Giraldo,Orcasound,Sounds similar for me: Using open embeddings to improve sampling on orcAL Tool
Hashim,Python Software Foundation,DFFML : Enhancing User Experience with Notebook Examples for Machine Learning Use Cases.
Manan Sharma-1,Postman,Idea #3: Newman Dashboard
Jean Staquet,Rocket.Chat,Channel's Calendar View
Huu Long Nguyen,The Julia Language,Particle Swarm Optimization for Hyperparameter Tuning in MLJ
Nirmal Praveen Suthar,SPDX,Generate a JSON Representation of the Specification from Structured Markdown
Hrithik Kumar Verma,Python Software Foundation,MISSION SUPPORT SYSTEM (MSS) : GENERATING A TOOL CHAIN TUTORIAL FOR THE MSUI USER INTERFACE BY AUTOMATION OPERATIONS
Hari Krishna,Wikimedia Foundation,Develop a web based monitoring dashboard to improve and monitor existing database backup inventory processes and improve long term maintainability of existing code
CastilloDel,Global Alliance for Genomics and Health,Pure Rust serverless htsget implementation
Jayaraj,AerospaceResearch.net,CalibrateSDR
Trung Kien Dang,Scala Center,"A Python - Scala integrated environment with Almond, Ammonite and ScalaPy"
Abhishek Zade,CircuitVerse.org,Compatibility for Touch Devices
Adarsh Kumar Singh,JBoss Community,Classroom and Doubt forum feature in Mobile Application.
Chukwuemeka Okechukwu,Digital Impact Alliance (DIAL) at UN Foundation,DIAL ODK-X New Date Prompts For ODK-X Survey Proposal
Hugo Flores Garcia,Audacity,Source Separation and Extensible MIR Tools for Audacity
Sidharth Anand,MuseScore,Smart Tempo in MuseScore 4
Adithya Vardhan,Rocket.Chat,Channels Discovery
Sushanth Rao,Ruby,Writing of RBS Files
Maayami,SCoRe Lab,SCoRe Lab's Gitter ChatBot
Farees Hussain Syed,Oppia Foundation,End-to-End Testing Support
Stuti Mohgaonkar,Processing Foundation,Create p5 Music examples - interactive and generative
Apoorva Vikram Singh,Machine Learning for Science (ML4SCI) Umbrella Organization,Equivariant Neural Networks for Dark Matter Morphology with Strong Gravitational Lensing
Albert Font,Liquid Galaxy project,Electronics Monitor Board (EMB)
Ioannis Sina,GFOSS - Open Technology Alliance,Creation of a multi user audio first annotation tool
tpw_rules,apertus° Association,T1220 AXIOM Beta nMigen Support
Apurv Gupta,The Apache Software Foundation,UX Enhancements
Georgios Pipilis,Machine Learning for Science (ML4SCI) Umbrella Organization,Machine Learning Model for the Albedo of Mercury
freyam,NumFOCUS,Visualizing Performance Characteristics of Computations
xing-zhi jiang,MariaDB Foundation,autocomplete and related feature
Panos Korovesis,LibreOffice,Make SVM format independent of the VCL Metafile + test of the format
Arsh Sharma-1,The Julia Language,General Improvements to User Experience in Javis
Jayesh Nirve,CCExtractor Development,Cross platform GUI for CCExtractor
Chukwuebuka Ezike,KDE Community,Add gdb pretty printer support for Qt5
Liviu-Alexandru Bud,The Linux Foundation,Add dynamic load module support for SOF
Aditya Srivastav,Wikimedia Foundation,Custom Picture Selector for upload in Commons app
Carol Mak,The Julia Language,Involutive Markov Chain Monte Carlo in Turing
Raj Ranjan,AOSSIE,Agora Blockchain
rutvik chandla,The Palisadoes Foundation,Talawa - Mobile App
kpiyush04,The R Project for Statistical Computing,bugRzilla: Helping submitting issues to R
Esteban Blanc,gVisor,Implement io_uring in gVisor
Eraraya Ricardo Muten,Machine Learning for Science (ML4SCI) Umbrella Organization,Quantum Convolutional Neural Networks for High Energy Physics Analysis at the LHC
David Romero Bascones,INCF,Population-specific tractography bundle atlas creation
Atharva Pusalkar,Open Robotics,New GUI widgets in Ignition Gazebo
David Port Louis,mlpack,Implementation of Example Zoo for mlpack
Emre Kurtoglu,Machine Learning for Science (ML4SCI) Umbrella Organization,Graph Neural Networks for Particle Momentum Estimation in the CMS Trigger System
khyati,52°North GmbH,Groundwork for platform independent app
Aditya Kapoor,RoboComp,Improvement of a Social Navigation component
Kuter Dinel,The LLVM Compiler Infrastructure,Improve inter-procedural analyses and optimizations
Sai Prasanth Duvvuri,Chapel,Matrix Exponentials
Bingchang Chen,CNCF,TiKV: High-performance Data Import Tool
Qi Zeng,Integrated Ocean Observing System (IOOS),Translate ERDDAP User Interface Into Different Languages
Kelvin Kipkorir,openSUSE Project,Container-based backend for openQA
Georgios Kosmas,GFOSS - Open Technology Alliance,hashesdb (Georgios Kosmas)
ricardoV94,NumFOCUS,[PyMC3] Make SMC-ABC faster and more flexible
Huaxi Jiang,The Apache Software Foundation,Enhance verification for APISIX ingress controller
Delton,Ruby,The Next Step of Ruby 3 Fiber Scheduler
Chandan,JdeRobot - Universidad Rey Juan Carlos,Migrating industrial robot manipulation exercises to web server
Jeffrey Cochran,Godot Engine,Improvements to Godot Soft-body Dynamics
Jayasanka Weerasinghe,OpenMRS,E2E Automated Tests for the OpenMRS 3.0 RefApp
Vineet Sharma,OpenMRS,Modernizing Administrative functions for OpenMRS: Clinical Data Management
Saurabh Kumar-1,OpenMRS,OpenMRS Android Client 3.0.x
Huzi Cheng,NumFOCUS,A Full-featured Web Dashboard  for Optuna to Monitor Optimization History
Fatih ATES,CNCF,CNCF - CNB - Jenkins Plugins
Mahmoud Mandour,QEMU,TCG Plugin: Cache Modelling
Leonardo Coelho Ruas,Liquid Galaxy project,Liquid Galaxy Retro Gaming
Purushottam Tiwari,Zulip,"Improve stream management, message viewing and left sidebar"
Kushal Kumar,Accord Project,CiceroMark<->OOXML
Mridul,Oppia Foundation,Improving Front-End Typed System
Mustafa Dharwala,Cuneiform Digital Library Initiative (CDLI),3D Viewer Integration
Abdullah Deshmukh,Dart,Flutter Desktop Tool
Shiv Charan Sharma,BRL-CAD,Automate Reinforcement Process of Slab and Footing in FreeCAD
Angad Kambli,Godot Engine,Add pseudo-localization to better spot untranslated strings and unexpected layout changes caused by long strings
krishna11,The Honeynet Project,Cloning and compatibility improvements for Snare
Aki-7,Continuous Delivery Foundation,Jenkins Remoting Monitoring
Ninad Bhat,NumFOCUS,Extending the AiiDA REST API towards workflow management
Elias Little,The Julia Language,What You See Is What You Rest Security
Frinksy,Matrix.org,Extend Ruma's API coverage
Chandan Prakash,Sugar Labs,Music Blocks Debugging Aids
Ashutosh Bharambe,NumFOCUS,Adding Integro Differential Equations and Improving symbolic representation of geometry in PINNs
Kushagra Gupta 99,The R Project for Statistical Computing,Critical efficiency improvements of mcmcse
Prathamesh Tagore,Boost C++ Libraries,Boost Gil (Project 1 - 2D Convolution and Correlation)
Anurag Akella,CERN-HSF,Implementing an application for visualizing the LHCb DAQ network
Khushal Agarwal,React Native Elements,Automatically generate docs from the components
Arthur Cohen,GNU Compiler Collection (GCC),Cargo tool for Rust-GCC
Sarthak Khattar,The Honeynet Project,IntelOwl Improvements
Goutam Verma,Liquid Galaxy project,SimpleCMS E.S.
Suyog Garg,openastronomy,Add a CDS-ASCII writer to astropy
Yang Yang,MetaBrainz Foundation Inc,Push the URL relationship editor to the next level
Dhruva Gole,BeagleBoard.org Foundation,Bela support for the BeagleBone AI and/or future TI boards
Divyansh Jain,OWASP Foundation,GSOC proposal for Nettacker
Edward HUI,Audacity,Spectral Selection Tools
Ke Zhang,The Apache Software Foundation,Proposal for Apache SkyWalking: Python agent supports profiling
Anastasiy Belyaev,Tarantool,C++ connector enhancement
Kodjo Laurent Egbakou,VideoLAN,Added new features to  LibVLCSharp and fixed bugs
Shruti Agarwal,FOSSology,Migration of UI into React.js
Hwarim Hyun,The Apache Software Foundation,Implementing Work Stealing on Nemo
Abhinav Anand,mlpack,Improvisation and Implementation of ANN Modules
Vishal Sharma,Xfce,Sample/Skeleton Plugins in GOI Supported Languages
tre3x,Red Hen Lab,Machine detection of film edits
Alejandro Domínguez,GNOME Foundation,Fractal: Multi account support
ketangupta34,MetaCall,Java Loader using Java Native Interface
BHARAT,Dart,SPDX license detection package
Yash Kumar Verma,caMicroscope,RBAC Authorization with Cache Implementation using higher order functions
Shrey Sachdeva,Open Bioinformatics Foundation,Development of a user interface to visualise VEP data using neXtProt tools
Purva Chaudhari,Machine Learning for Science (ML4SCI) Umbrella Organization,End-to-End Deep Learning Reconstruction for CMS Experiment
Guang Zhang,DBpedia,"Update DBpedia Sparql for newly updated wiki resources and specifically related to pandemic, healthcare, and heath AI fields"
Sahaja Belaganti,CNCF,Upgrade OAM implementation in Crossplane to latest release of spec
Nishal Kulkarni,GNOME Foundation,Implement active resource management in GNOME
Vedant Shah,GFOSS - Open Technology Alliance,Extending Deepbots to evolutionary algortihms
tanishq67,Open Bioinformatics Foundation,gtfBase- A curated resource of multispecies genomic regions
SeifEldeen,apertus° Association,Image Sensor Simulation/Emulation
Gerardo Duran-Martin,TensorFlow,TensorFlow Proposal for the Convert Matlab ML examples to Python / JAX project
Jakub Duchniewicz,BeagleBoard.org Foundation,GPGPU with GLES API
Utpalendu Barman,CiviCRM LLC,GSOC Proposal for the project - Integrate MJML / GrapeJS Newsletters
Pawan Wadhwani,RoboComp,Deep Reinforcement Learning for precise robot grasping and object manipulation
Karine Pistili,Liquid Galaxy project,Reforestation Assistant & Simulator
Rijuta Singh,Oppia Foundation,Integrating the Oppia blog with Oppia.org
isolte,xrdesktop,glTF virtual environment loading
Parth Kanakiya,OpenMRS,OpenMRS GSOC-21 Proposal
Divyam Ahuja,ScummVM,Finishing implementation of unfinished Game Engines
Manuel Drehwald,The LLVM Compiler Infrastructure,Integrating Enzyme into Rust
Anurag Gupta,Global Alliance for Genomics and Health,Implement reusable GA4GH UI clients
Saptarshi Majumder,Ceph,RGW:S3 SDK Compatibility
Ali Eren Yogurtcu,CCExtractor Development,FastFingers Application Development
Sarthak Garg-1,Zulip,Improve User Experience in Zulip Terminal
Lara Lazier,QEMU,Complete AMD virtualization emulation
Harsh Prakash Gupta,CERN-HSF,Add support for in-browser interactive averaging of physics results
Ish Bosamiya,Blender Foundation,Continued Development on Adaptive Cloth Simulator for Blender
Medhavi Srivastava,OpenMRS,Support for Extended Operations in FHIR
João Vitor F. Cavalcante,The R Project for Statistical Computing,R Community Explorer - Exploration of the R community on Twitter
Hiebl,International Catrobat Association,Unified Catrobat Language Brick Syntax
Oskar Walcher,International Catrobat Association,Search functionality for bricks in Pocket Code
Nicolas,Shaka Player,A step forward on Shaka Player’s User Interface
Ameya Deshpande,The ns-3 Network Simulator Project,IPv6 Nix-Vector Routing
Arjun Taneja,MuseScore,Improving Accessibility for the Visually Impaired
ArunagirinadanSudharshan,Ceph,Implementing integration tests using Gherkin language
Swadesh Jana,Red Hen Lab,Create a Red Hen OpenDataset for gestures with performance baselines
kinshuk_kashyap,INCF,"Decentralized storage of versioned BIDS datasets with IPFS, datalad and Ceramic"
Mohit,JabRef e.V.,Microsoft Word Integration
Rohit Goswami,Fortran-lang,LFortran and Computational Chemistry
Dilith Jayakody,Blender Foundation,Curve Improvements
Sudhanshu Kumar P,Python Software Foundation,DFFML : Add data cleanup dataflow operations and sklearn accuracy scorers
Nitin Mishra,Free and Open Source Silicon Foundation,TensorCore Extension for Deep Learning
Yash Agrawal,Wikimedia Foundation,Add zoom and pan to the Wikisource Pagelist Widget
Kaushlendra Pratap Singh,FOSSology,Copyright False Positive Detection Using ML
Siger,LabLua,Lua scripted watchpoints in LLDB
Danish Jamal,The Apache Software Foundation,Fineract Client
Hanxi Guo,OpenCV,"Proposal for ""Accelerate OpenCV.js DNN via WebNN"""
Manav Nair,apertus° Association,eMMC Plugin Firmware
Kai A. Hiller,GNOME Foundation,Fractal NEXT
Mohit Balwani,SymPy,Refactor the ODE module and make it fast
Sai Bhushan,Processing Foundation,Improve Test Coverage in p5.Sound library
Kamil Albrycht,Global Alliance for Genomics and Health,React diagram component library for creating pedigree drawings tools
Aditi Singh-1,freifunk,OpenWrt Device Page
